claim_id,topic,claim_text,claim_type,source_label,source_url,source_class,custodian,record_date,access_date,evidence_boundary,confidence_label,publication_status,next_check
SRC-P-001,aid,"CRS estimates inflation-adjusted U.S. aid obligations to Israel at $298B from 1946 through 2024.",financial figure,"Congressional Research Service RL33222",https://www.congress.gov/crs-product/RL33222,public-record,"Congressional Research Service",2025-03-01,2026-04-22,"Supports the CRS estimate only; does not prove direct displacement of any specific domestic program.",verified,ready,"Check CRS report version before reuse."
SRC-P-002,aid,"CRS separately reports $174.965B in current-dollar assistance and missile-defense funding through 2025.",financial figure,"Congressional Research Service RL33222",https://www.congress.gov/crs-product/RL33222,public-record,"Congressional Research Service",2025-03-01,2026-04-22,"Current-dollar figure must not be merged with the constant-dollar figure.",verified,ready,"Keep current-dollar and constant-dollar totals in separate prose."
SRC-P-003,humanitarian,"OCHA reported 72,289 Palestinian fatalities in Gaza as of 1 April 2026, attributed to MoH Gaza.",reported figure,"OCHA reported impact snapshot",https://www.ochaopt.org/content/reported-impact-snapshot-gaza-strip-1-april-2026,un-international,"UN OCHA",2026-04-01,2026-04-22,"Shows OCHA's reported figure and attribution chain; does not independently verify every record.",reported,ready,"Refresh from next OCHA snapshot."
SRC-P-004,humanitarian,"UNICEF reported 21,289 children killed in Gaza through 3 February 2026.",reported figure,"UNICEF humanitarian update",https://www.unicef.org/media/170956/file/State-of-Palestine-Humanitarian-Situation-Update-and-Humanitarian-Response-5-February-2026.pdf.pdf,un-international,"UNICEF",2026-02-05,2026-04-22,"Shows UNICEF's reported figure and date range; not a court finding.",reported,ready,"Check newer UNICEF situation updates."
SRC-P-005,humanitarian,"A Lancet Global Health survey estimated 75,200 violent deaths in Gaza through 5 January 2025.",survey estimate,"The Lancet Global Health",https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(25)00522-4/fulltext,peer-reviewed,"The Lancet Global Health",2025-01-01,2026-04-22,"Survey estimate with method limits; not a live administrative count.",estimate,ready,"Capture confidence interval and methodology in long-form copy."
SRC-P-006,press-freedom,"CPJ reported at least 261 journalists and media workers among those killed since the Israel-Gaza war began.",monitor tracker,"Committee to Protect Journalists casualty tracker",https://cpj.org/2023/10/journalist-casualties-in-the-israel-gaza-war/,monitor-ngo,"Committee to Protect Journalists",2026-04-17,2026-04-22,"Shows CPJ's tracker count and investigation status.",reported,ready,"Check tracker timestamp before publication."
SRC-P-007,incident,"Forensic Architecture reconstructed the killing of Hind Rajab and found evidence of fire at close range.",incident evidence,"Forensic Architecture Hind Rajab investigation",https://forensic-architecture.org/investigation/the-killing-of-hind-rajab,press-osint,"Forensic Architecture",2024-01-29,2026-04-22,"Supports forensic reconstruction language; does not establish individual criminal liability by itself.",documented,editor-review,"Pull exact conclusion wording into incident matrix."
SRC-P-008,incident,"World Central Kitchen reported seven aid workers were killed after its convoy was struck in Gaza.",incident evidence,"World Central Kitchen Gaza team update",https://wck.org/news/gaza-team-update/,monitor-ngo,"World Central Kitchen",2024-04-02,2026-04-22,"Supports WCK's account and casualty count; motive and legal classification require separate records.",reported,editor-review,"Attach official Israeli investigation statement before final prose."
SRC-P-009,legal,"The ICJ advisory opinion stated Israel's continued presence in the occupied Palestinian territory is unlawful.",legal record,"ICJ advisory opinion",https://www.icj-cij.org/node/204176,un-international,"International Court of Justice",2024-07-19,2026-04-22,"Advisory opinion posture must remain visible; not a criminal conviction.",verified,ready,"Quote dispositive paragraphs exactly."
SRC-P-010,legal,"ICC public records describe warrants in the Situation in the State of Palestine; a warrant is not a conviction.",legal record,"ICC Pre-Trial Chamber news release",https://www.icc-cpi.int/news/situation-state-palestine-icc-pre-trial-chamber-i-rejects-state-israels-challenges,un-international,"International Criminal Court",2024-11-21,2026-04-22,"Supports warrant-stage language; does not prove conviction.",verified,ready,"Attach exact ICC public document before naming charges."
